id,product_id,size,variant_price,description
194,22,Age 13,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
195,22,Age 14,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
196,22,Age 15-16,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
197,22,Age 16,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
199,23,Age 16-17,13.75,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
200,23,Age 13,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
201,23,Age 14,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
202,23,Age 15-16,13.75,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
204,24,Age 2-3,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
205,24,Age 3-4,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
206,24,Age 4-5,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
207,24,Age 5-6,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
208,24,Age 6-7,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
209,24,Age 7-8,10.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
210,24,Age 11-12,12.0,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3048 Pull-On Trouser is optimised for comfort throughout the school day with an elasticated back and pull-on design. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
mock fly and two side pockets
tailored front waistband
slim fit
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary"
212,25,Age 2,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
213,25,Age 3,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
214,25,Age 4,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
215,25,Age 5-6,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
216,25,Age 6,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
217,25,Age 7,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
218,25,Age 7-8,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
219,25,Age 9,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
220,25,Age 10,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
221,25,Age 11,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
222,25,Age 12,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
223,25,Age 13,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary"
225,26,Age 2,9.25,Abbey Meads (Swindon) Polo Shirt-White
