id,product_id,size,price,description,description_icon_alts,colors
13.0,20008.0,,£12.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Grey']
14.0,20008.0,Age 16-17,£13.75,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Grey']
15.0,20008.0,Age 13,£12.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Grey']
16.0,20008.0,Age 14,£12.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Grey']
17.0,20008.0,Age 15-16,£13.75,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3052 Junior Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a traditional standard fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Grey']
18.0,20009.0,,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
19.0,20009.0,Age 2,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
20.0,20009.0,Age 3,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
21.0,20009.0,Age 4,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
22.0,20009.0,Age 5-6,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
23.0,20009.0,Age 6,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
24.0,20009.0,Age 7,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
25.0,20009.0,Age 7-8,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
