name,price,url,image
Red Cotton Rich School Sweatshirt 5 Pack,£12.50,"https://direct.asda.com/george/school/jumpers-sweatshirts/red-cotton-rich-school-sweatshirt-5-pack/GEM1126635-23603,default,pd.html?clr=Red","https://asda.scene7.com/is/image/Asda/5059190705917?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Grey Boys Adjustable Waist School Shorts 2 Pack,£6,"https://direct.asda.com/george/school/shorts/grey-boys-adjustable-waist-school-shorts-2-pack/GEM733319-99584,default,pd.html?clr=Grey","https://asda.scene7.com/is/image/Asda/5059182037712?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Geometric Mountain Short Padded Coat,£26,"https://direct.asda.com/george/kids/coats-jackets/geometric-mountain-short-padded-coat/GEM1124306,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197752914?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Khaki East Canyon Rubber Padded Coat,£26,"https://direct.asda.com/george/kids/coats-jackets/khaki-east-canyon-rubber-padded-coat/GEM1124287,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197754611?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Camouflage Borg Lined Dry Changing Robe Jacket,£30,"https://direct.asda.com/george/kids/coats-jackets/camouflage-borg-lined-dry-changing-robe-jacket/GEM1124200,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197751498?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Navy Lightweight Jacket,£10,"https://direct.asda.com/george/kids/coats-jackets/navy-lightweight-jacket/GEM1124261,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197742595?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Green Lightweight Jacket,£10,"https://direct.asda.com/george/kids/coats-jackets/green-lightweight-jacket/GEM1124035,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197741857?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Red Worldwide Division Padded Coat,£22,"https://direct.asda.com/george/kids/coats-jackets/red-worldwide-division-padded-coat/GEM1124786,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197820378?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Green Worldwide Division Padded Coat,£22,"https://direct.asda.com/george/kids/coats-jackets/green-worldwide-division-padded-coat/GEM1124781,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197818436?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Graffiti Colour Block Short Padded Coat,£16,"https://direct.asda.com/george/kids/coats-jackets/graffiti-colour-block-short-padded-coat/GEM1124073,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197741390?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Stone Colour Block Short Padded Coat,£16,"https://direct.asda.com/george/kids/coats-jackets/stone-colour-block-short-padded-coat/GEM1124301,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197742250?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Orange Colour Block Padded Mountain Coat,£26,"https://direct.asda.com/george/kids/coats-jackets/orange-colour-block-padded-mountain-coat/GEM1124001,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197753577?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Marble Colour Block Padded Mountain Coat,£26,"https://direct.asda.com/george/kids/coats-jackets/marble-colour-block-padded-mountain-coat/GEM1124072,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197754093?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Cream East Canyon Lightweight Jacket,£16,"https://direct.asda.com/george/kids/coats-jackets/cream-east-canyon-lightweight-jacket/GEM1124234,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197755151?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Striped Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/striped-trunks-5-pack/GEM1136484,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198486818?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Paint Splatter Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/paint-splatter-trunks-5-pack/GEM1136481,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198486139?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
The Gruffalo Vests 3 Pack,£5,"https://direct.asda.com/george/kids/underwear-socks/the-gruffalo-vests-3-pack/GEM1131852,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198207819?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Navy Senior Boys Short Sleeve School Polo Shirts 2 Pack,£5,"https://direct.asda.com/george/school/boys-school-polo-shirts/navy-senior-boys-short-sleeve-school-polo-shirts-2-pack/GEM1137209-23540,default,pd.html?clr=Navy","https://asda.scene7.com/is/image/Asda/5059198525296?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Senior Boys Short Sleeve School Polo Shirts 2 Pack,£5,"https://direct.asda.com/george/school/boys-school-polo-shirts/black-senior-boys-short-sleeve-school-polo-shirts-2-pack/GEM1137209-23534,default,pd.html?clr=Black","https://asda.scene7.com/is/image/Asda/5059198525050?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Leather Chunky Derby School Shoes,£20,"https://direct.asda.com/george/school/boys-school-shoes-trainers/black-leather-chunky-derby-school-shoes/GEM1131262,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059198178133?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Leather Double Strap School Boots,£18,"https://direct.asda.com/george/school/boys-school-shoes-trainers/black-leather-double-strap-school-boots/GEM1131256,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059198175330?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Cobalt Fleece Lined Padded Sports Jacket,£18,"https://direct.asda.com/george/kids/coats-jackets/cobalt-fleece-lined-padded-sports-jacket/GEM1124259,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197735276?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Khaki Padded Bomber Jacket,£18,"https://direct.asda.com/george/kids/coats-jackets/khaki-padded-bomber-jacket/GEM1124222,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197734255?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Wide Fit Wrap Strap Plimsoll,£4.50,"https://direct.asda.com/george/school/boys-school-shoes-trainers/black-wide-fit-wrap-strap-plimsoll/GEM1121865,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059197622033?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Coloured Trim Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/black-coloured-trim-trunks-5-pack/GEM1136480,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198486092?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
