schoolsupplier_id,id,name,link,price,image
2,32,EMBROIDERED INITIAL,https://www.top-form.co.uk/product/embroidered-initial/,£3.50,https://www.top-form.co.uk/wp-content/uploads/2023/12/EskimoST-9712_1.jpg
2,33,SANDISK USB FLASH DRIVE 32GB,https://www.top-form.co.uk/product/sandisk-usb-flash-drive-32gb/,£7.99,https://www.top-form.co.uk/wp-content/uploads/2024/04/EskimoST-29201_1.jpg
2,34,RESULT WATERPROOF OVER JACKET BLACK,https://www.top-form.co.uk/product/result-waterproof-over-jacket-black/,£8.50,https://www.top-form.co.uk/wp-content/uploads/2023/10/EskimoST-14124_1.jpg
2,35,GIRLS TROUSER 965 – BLACK,https://www.top-form.co.uk/product/girls-trouser-965-black/,£19.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-10046_1.jpg
2,36,WATER BOTTLE AND HOLDER,https://www.top-form.co.uk/product/water-bottle-and-holder/,£3.95,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14080_1.jpg
2,37,SUPERIOR SWIMMING HAT,https://www.top-form.co.uk/product/superior-swimming-hat/,£5.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-14226_1.jpg
2,38,IRON ON NAME LABELS IN BLACK ONLY,https://www.top-form.co.uk/product/iron-on-name-labels/,£4.00,https://www.top-form.co.uk/wp-content/uploads/2024/06/EskimoST-30760_1.jpg
2,39,BURNT MILL BOYS BLAZER,https://www.top-form.co.uk/product/burnt-mill-boys-blazer/,£29.50,https://www.top-form.co.uk/wp-content/uploads/2023/09/EskimoST-1605_1.jpg
2,40,BURNT MILL GIRLS BLAZER,https://www.top-form.co.uk/product/burnt-mill-girls-blazer/,£29.50,https://www.top-form.co.uk/wp-content/uploads/2024/06/EskimoST-1610_1.jpg
2,41,BURNT MILL JUMPER,https://www.top-form.co.uk/product/burnt-mill-jumper/,£18.50,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1615_1.jpg
2,42,BURNT MILL 52 LONG TIE,https://www.top-form.co.uk/product/burnt-mill-52-long-tie/,£4.75,https://www.top-form.co.uk/wp-content/uploads/2023/07/EskimoST-1614_1.jpg
