school_name,store_page,schoolsupplier_id,products
Baljaffray Primary,https://schoolwearmadeeasy.com/collections/baljaffray-primary,,
Ballater Primary,https://schoolwearmadeeasy.com/collections/ballater-primary,,
Balloch Primary,https://schoolwearmadeeasy.com/collections/balloch-primary,,
Balnain Primary,https://schoolwearmadeeasy.com/collections/balnain-primary,,
Banchory Devenick Primary,https://schoolwearmadeeasy.com/collections/banchory-devenick-primary,,
Banchory Primary,https://schoolwearmadeeasy.com/collections/banchory-primary,,
Bankhead Primary,https://schoolwearmadeeasy.com/collections/bankhead-primary,,
Bankhead Primary Knightswood,https://schoolwearmadeeasy.com/collections/bankhead-primary-knightswood,,
Bargarran Primary,https://schoolwearmadeeasy.com/collections/bargarran-primary,,
Barrassie Primary,https://schoolwearmadeeasy.com/collections/barrassie-primary,,
Barsail Primary,https://schoolwearmadeeasy.com/collections/barsail-primary,,
Barthol Chapel Primary,https://schoolwearmadeeasy.com/collections/barthol-chapel-primary,,
Bearsden Primary,https://schoolwearmadeeasy.com/collections/bearsden-primary,,
Beauly Primary,https://schoolwearmadeeasy.com/collections/beauly-primary,,
Beckford Primary,https://schoolwearmadeeasy.com/collections/beckford-primary,,
Beith Primary,https://schoolwearmadeeasy.com/collections/beith-primary,,
Bellater Primary,https://schoolwearmadeeasy.com/collections/bellater-primary,,
Bellsbank Primary,https://schoolwearmadeeasy.com/collections/bellsbank-primary,,
Ben Wyvis Primary,https://schoolwearmadeeasy.com/collections/ben-wyvis-primary,,
Bervie Primary,https://schoolwearmadeeasy.com/collections/bervie-primary,,
Bishop Eden's Primary,https://schoolwearmadeeasy.com/collections/bishop-edens-primary,,
Bishopton Primary,https://schoolwearmadeeasy.com/collections/bishopton-primary,,
Blackfriars Primary,https://schoolwearmadeeasy.com/collections/blackfriars-primary,,
Blacklands Primary,https://schoolwearmadeeasy.com/collections/blacklands-primary,,
Blairdardie Primary,https://schoolwearmadeeasy.com/collections/blairdardie-primary,,
Bonhill Primary,https://schoolwearmadeeasy.com/collections/bonhill-primary,,
Borrowfield Primary,https://schoolwearmadeeasy.com/collections/borrowfield-primary,,
Brediland Primary,https://schoolwearmadeeasy.com/collections/brediland-primary,,
Bridge of Weir Primary,https://schoolwearmadeeasy.com/collections/bridge-of-weir-primary,,
Bridgend Primary,https://schoolwearmadeeasy.com/collections/bridgend-primary,,
Bridgeton Family Learning Centre,https://schoolwearmadeeasy.com/collections/bridgeton-family-learning-centre,,
Brimmond School,https://schoolwearmadeeasy.com/collections/brimmond-school,,
Broadford Primary,https://schoolwearmadeeasy.com/collections/broadford-primary,,
Brodick Primary,https://schoolwearmadeeasy.com/collections/brodick-primary,,
Broomhill Primary,https://schoolwearmadeeasy.com/collections/broomhill-primary,,
Bunsgoil Ghaidhlig Ghlaschu,https://schoolwearmadeeasy.com/collections/bunsgoil-ghaidhlig-ghlaschu,,
Bun-Sgoil Ghaidhlig Inbhir Nis,https://schoolwearmadeeasy.com/collections/bun-sgoil-ghaidhlig-inbhir-nis,,
Burgh Primary,https://schoolwearmadeeasy.com/collections/burgh-primary,,
Bushes Primary,https://schoolwearmadeeasy.com/collections/bushes-primary,,
Cadder Primary,https://schoolwearmadeeasy.com/collections/cadder-primary,,
Cairns Primary,https://schoolwearmadeeasy.com/collections/cairns-primary,,
Caldercuilt Primary,https://schoolwearmadeeasy.com/collections/caldercuilt-primary,,
Calderwood Lodge Primary,https://schoolwearmadeeasy.com/collections/calderwood-lodge-primary,,
Calderwood Primary,https://schoolwearmadeeasy.com/collections/calderwood-primary,,
Calton Gaelic Primary,https://schoolwearmadeeasy.com/collections/calton-gaelic-primary,,
Canisbay Primary,https://schoolwearmadeeasy.com/collections/canisbay-primary,,
Carbost Primary,https://schoolwearmadeeasy.com/collections/carbost-primary,,
Cardonald Primary,https://schoolwearmadeeasy.com/collections/cardonald-primary,,
Carleton Primary,https://schoolwearmadeeasy.com/collections/carleton-primary,,
Carlibar Primary,https://schoolwearmadeeasy.com/collections/carlibar-primary,,
Carmyle Primary,https://schoolwearmadeeasy.com/collections/carmyle-primary,,
Carmyllie Primary,https://schoolwearmadeeasy.com/collections/carmyllie-primary,,
Carolside Primary,https://schoolwearmadeeasy.com/collections/carolside-primary,,
