id,schoolsupplier_id,name,link,starting_price,image,label,size,variant_price,product_id
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,4-5 Yrs,3.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,5-6 Yrs,3.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,6-7 Yrs,4.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,7-8 Yrs,4.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,8-9 Yrs,4.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,9-10 Yrs,4.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,10-11 Yrs,5.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,11-12 Yrs,5.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,12-13 Yrs,5.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,13-14 Yrs,5.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,14-15 Yrs,5.0,41913
41913.0,asd_0,White Short Sleeve School Polo Shirts 2 Pack,"https://direct.asda.com/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922-23619,default,pd.html?clr=White",3.0,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,15-16 Yrs,5.0,41913
41914.0,asd_0,White Boys Short Sleeve School Shirt 5 Pack,"https://direct.asda.com/george/school/boys-school-shirts/white-boys-short-sleeve-school-shirt-5-pack/GEM1087995-23619,default,pd.html?clr=White",8.5,"https://asda.scene7.com/is/image/Asda/5059196119534?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,5-6 Yrs,8.5,41914
41914.0,asd_0,White Boys Short Sleeve School Shirt 5 Pack,"https://direct.asda.com/george/school/boys-school-shirts/white-boys-short-sleeve-school-shirt-5-pack/GEM1087995-23619,default,pd.html?clr=White",8.5,"https://asda.scene7.com/is/image/Asda/5059196119534?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,6-7 Yrs,11.0,41914
41914.0,asd_0,White Boys Short Sleeve School Shirt 5 Pack,"https://direct.asda.com/george/school/boys-school-shirts/white-boys-short-sleeve-school-shirt-5-pack/GEM1087995-23619,default,pd.html?clr=White",8.5,"https://asda.scene7.com/is/image/Asda/5059196119534?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd",,7-8 Yrs,11.0,41914
